stim_id,fan,status,occupation,eyes,face,test,test_eyes
92,hf,ls,maid,Aligned_Cropped_New_15.jpg,Aligned_C2_242.jpg,new,Aligned_Cropped_New_15.jpg
93,hf,ls,maid,Aligned_Cropped_New_15.jpg,Aligned_C2_201.jpg,new,Aligned_Cropped_New_15.jpg
94,hf,ls,nanny,Aligned_C2_167.jpg,Aligned_C2_039.jpg,old,Aligned_C2_071.jpg
95,hf,ls,nanny,Aligned_C2_167.jpg,Aligned_223_0_C1.jpg,old,Aligned_C2_071.jpg
96,hf,ls,nanny,Aligned_C2_167.jpg,Aligned_C2_050.jpg,old,Aligned_C2_071.jpg
97,hf,ls,nanny,Aligned_C2_167.jpg,Aligned_Cropped_New_7.jpg,new,Aligned_C2_167.jpg
98,hf,ls,nanny,Aligned_C2_167.jpg,Aligned_C2_185.jpg,new,Aligned_C2_167.jpg
99,hf,ls,nanny,Aligned_C2_167.jpg,Aligned_062_0_C1.jpg,new,Aligned_C2_167.jpg
100,hf,ls,bus driver,Aligned_255_0_C1.jpg,Aligned_C2_104.jpg,old,Aligned_288_0_C1.jpg
101,hf,ls,bus driver,Aligned_255_0_C1.jpg,Aligned_C2_097.jpg,old,Aligned_288_0_C1.jpg
102,hf,ls,bus driver,Aligned_255_0_C1.jpg,Aligned_C2_024.jpg,old,Aligned_288_0_C1.jpg
103,hf,ls,bus driver,Aligned_255_0_C1.jpg,Aligned_C2_142.jpg,new,Aligned_255_0_C1.jpg
104,hf,ls,bus driver,Aligned_255_0_C1.jpg,Aligned_Cropped_12.jpg,new,Aligned_255_0_C1.jpg
105,hf,ls,bus driver,Aligned_255_0_C1.jpg,Aligned_040_0_C1.jpg,new,Aligned_255_0_C1.jpg
106,hf,ls,secretary,Aligned_Cropped_76.jpg,Aligned_C2_244.jpg,old,Aligned_C2_030.jpg
107,hf,ls,secretary,Aligned_Cropped_76.jpg,Aligned_Cropped_New_21.jpg,old,Aligned_C2_030.jpg
108,hf,ls,secretary,Aligned_Cropped_76.jpg,Aligned_Cropped_New_5.jpg,old,Aligned_C2_030.jpg
109,hf,ls,secretary,Aligned_Cropped_76.jpg,Aligned_Exemplar_C2_008.jpg,new,Aligned_Cropped_76.jpg
110,hf,ls,secretary,Aligned_Cropped_76.jpg,Aligned_Cropped_New_20.jpg,new,Aligned_Cropped_76.jpg
111,hf,ls,secretary,Aligned_Cropped_76.jpg,Aligned_034_0_C1.jpg,new,Aligned_Cropped_76.jpg
